step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
162,19018,162,1.533285006437455,0.0,0.6046511627906976
163,19123,163,1.5595436015606066,0.0,0.6634615384615384
164,19260,164,1.6761816156525744,0.0,0.5864661654135338
165,19405,165,1.3485411955711057,0.0,0.6388888888888888
166,19550,166,1.3341943663066118,0.0,0.697841726618705
167,19647,167,1.2237390164887287,0.0,0.7052631578947368
168,19728,168,1.2979459055576683,0.0,0.6986301369863014
169,19921,169,1.8312009781331577,0.0,0.5654450261780105
170,20050,170,1.7579193975893403,0.0,0.6504065040650406
171,20139,171,1.9747567883481878,0.0,0.5647058823529412
172,20236,172,1.2150665064845811,0.0,0.7368421052631579
173,20365,173,1.8494005023647127,0.0,0.5555555555555556
174,20502,174,1.3931122239682552,0.0,0.7352941176470589
175,20631,175,1.5341058428782284,0.0,0.6328125
176,20776,176,1.0657454014179137,0.0,0.7304964539007093
177,20849,177,2.022798257416828,0.0,0.5797101449275363
178,20954,178,1.3539822777828345,0.0,0.6470588235294118
179,21043,179,1.0990826424643025,0.0,0.7674418604651163
180,21132,180,1.1703257182323936,0.0,0.7073170731707317
181,21213,181,1.1624979718773432,0.0,0.75
182,21278,182,1.3455879055596291,0.0,0.6984126984126984
183,21335,183,0.9277127084081727,0.0,0.8392857142857143
184,21400,184,1.2045436205171054,0.0,0.6610169491525424
185,21737,185,0.890578000975599,0.0,0.8121212121212121
186,21850,186,1.6178506407282092,0.0,0.6055045871559633
187,21947,187,0.886727009962802,0.0,0.7578947368421053
188,22076,188,0.8361990236141468,0.0,0.7874015748031497
189,22221,189,0.9526017409562249,0.0,0.7083333333333334
190,22334,190,0.8955089648086855,0.0,0.719626168224299
191,22471,191,1.320459325214756,0.0,0.631578947368421
192,22608,192,1.2102366173053805,0.0,0.6946564885496184
193,22729,193,0.843788651954901,0.0,0.7522123893805309
194,22850,194,1.3504904976446805,0.0,0.6608695652173913
195,22963,195,1.2341315272201914,0.0,0.6792452830188679
196,23076,196,1.0375470651476495,0.0,0.7129629629629629
197,23149,197,0.48883354155897346,0.0,0.8888888888888888
198,23262,198,1.2951834444958195,0.0,0.6422018348623854
199,23391,199,1.2366989187025013,0.0,0.7131147540983607
200,23504,200,1.2560961118894056,0.0,0.6756756756756757
201,23665,201,0.9818264892952897,0.0,0.7197452229299363
202,23738,202,1.661500175588028,0.0,0.6231884057971014
203,23827,203,0.9222679067473585,0.0,0.7804878048780488
204,23908,204,0.8851461773694098,0.0,0.7808219178082192
205,23981,205,0.6846914191323902,0.0,0.803030303030303
206,24174,206,1.5094452540916212,0.0,0.6282722513089005
207,24303,207,1.3422946515759642,0.0,0.64
208,24424,208,1.3910183587483933,0.0,0.631578947368421
209,24553,209,1.4581306929467353,0.0,0.6111111111111112
210,24650,210,1.294571148755511,0.0,0.6629213483146067
211,24787,211,1.020883377769566,0.0,0.7426470588235294
212,24884,212,1.3540449007168385,0.0,0.6875
213,24973,213,1.5568697320040852,0.0,0.6352941176470588
214,25166,214,1.3500193377339933,0.0,0.6701570680628273
215,25303,215,1.1581248118444933,0.0,0.6590909090909091
216,25400,216,1.1676281737260816,0.0,0.6666666666666666
217,25465,217,0.9733422565539271,0.0,0.7931034482758621
218,25618,218,1.8913470629352942,0.0,0.5894039735099338
219,25723,219,1.1264852061736932,0.0,0.7115384615384616
220,25796,220,1.315531425324905,0.0,0.6666666666666666
221,25893,221,0.8379109666009523,0.0,0.7894736842105263
